city,title,titleEn,creator,publicationDate,publisher,copyright,description,width,height,scale,caption,captionEn,collectionSource,imageRecord,thumbnailUrl,callNumber,state,tileType,tileUrl,projection,maxZoom,minZoom,id,mapping.kml,mapping.neLat,mapping.neLon,mapping.swLat,mapping.swLon,mapping.altitude,mapping.dateFrom.date,mapping.dateFrom.timezone_type,mapping.dateFrom.timezone,mapping.dateTo.date,mapping.dateTo.timezone_type,mapping.dateTo.timezone,mapping.view,mapping.zoom,mapping.markerType,mapping.markerState,mapping.isNetworkLink,mapping.isCollection,mapping.georeferences,mapping.id,publicationDate.date,publicationDate.timezone_type,publicationDate.timezone
Berlin,Pharus-Plan Berlin,Pharus-Map Berlin,Pharus-Verlag G.m.b.H. Berlin,,"Berlin in alten Karten Verlag Richard Seitz & Co., Berlin (Pharus-Verlag)",,N/ATEST,68,48,,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1905/Thumb_50.png,***G6299 B3 svar 1982-83,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1905/,,18,10,1,,52.53360500,13.47508300,52.48050000,13.28187500,0,1905-01-01 00:00:00,3,America/Los_Angeles,1905-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,Plan von Berlin,Map of Berlin,"Internationaler Kongress fÃ¼r historische Wissenschaften, Berlin",,"Verlag von Alexius Kiessling, Berlin S.W.",,Shows Rail routes as well as streets and important buildings,88,53,1:20000,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1908/Thumb_50.png,G6084 Berlin 20 Kiessling 1908 H,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1908/,,18,10,2,,52.55767400,13.49936500,52.45893100,13.24476600,0,1908-01-01 00:00:00,3,America/Los_Angeles,1908-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,Übersichtsplan: Stadt Berlin: nach dem Gesetze vom 27. April 1920,Overview Map: City of Berlin: according to the Law of April 27th 1920,Städtische Plankammer: Eichberg,,"Berlin in alten Karten Verlag Richard Seitz & Co., Berlin (Geograph. Institut u. Landkarten-Verlag Jul. Straube, Berlin W. 57. )",,This map shows the 20 designated districts of Berlin.,96,84,1:60000,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1920_Region/Thumb_50.png,***G6299 B3 svar 1982-83,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1920_Region/,,18,10,3,,52.57571500,13.51278900,52.44167400,13.19385400,0,1920-01-01 00:00:00,3,America/Los_Angeles,1920-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,Pharus-Plan: Berlin,Pharus-Map: Berlin,Urheber: Cornelius Löwe,,"Pharus-Verlag G.m.b.H., Berling SW 68, Lindenstr. 3",,,88,72,,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1926/Thumb_50.png,G6084 Berlin NS PV 1926,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1926/,,18,10,4,,52.56603600,13.48635600,52.46823500,13.27486100,0,1926-01-01 00:00:00,3,America/Los_Angeles,1926-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,_ Stadtplan von Berlin (first word is missing),_ City map of Berlin (first word missing),"Grieben-Verlag, Albert Goldschmidt, Berlin",,"Leop. Kraatz, Berlin",,,61,46,1:18000,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1931/Thumb_50.png,"G6084 Berlin P2 / G9 18 Grieben, 1931 H",0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1931/,,18,10,5,,52.55191400,13.44029000,52.47235100,13.27180200,0,1931-01-01 00:00:00,3,America/Los_Angeles,1931-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,Olympia-Stadtplan von Berlin,Olympic City map of Berlin,"Reichssportverlag, Berin SW 68",,"Berlin in alten Karten Verlag Richard Seitz & Co., Berlin (Reichssportverlag)",,,96,68,1:25000,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1936_Olympia/Thumb_50.png,***G6299 B3 svar 1982-83,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1936_Olympia/,,18,10,6,,52.56578300,13.51969900,52.42093700,13.20948200,0,1936-01-01 00:00:00,3,America/Los_Angeles,1936-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,BERLIN RAILWAY SYSTEM,BERLIN RAILWAY SYSTEM,"Branch of Research and Analysis, OSS",,OSS,,"Shows Rail, including the S-Bahn, and the Subway; No.L4397 in Series",61,55,1:70000?,,,UCLA Bruman Map Collection,,http://dev.cdh.ucla.edu/hypermedia/tiles/1945/Thumb_50.png,G6299 Berlin P3 70 OSS 1945,0,GraphicsMagick,http://dev.cdh.ucla.edu/hypermedia/tiles/1945,,18,10,7,,52.67220200,13.68552700,52.33055400,13.08456000,0,1945-01-01 00:00:00,3,America/Los_Angeles,1945-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,Berlin 1947,Berlin 1947,,,,,,0,0,,,,,,http://tiles.ats.ucla.edu/tiles/Berlin_1947/Thumb_50.png,,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1947/,,18,10,8,,52.57709500,13.51706100,52.44131900,13.22155000,0,1947-01-01 00:00:00,3,America/Los_Angeles,1947-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,Der Wiederaufbau in Berlin 1950 bis 1954,The rebuilding in Berlin 1950 to 1954,"Georg Westermann, Braunschweig; E. Zastrow",,"Georg Westermann Verlag, Braunschweig",,,63,67,1:50000,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1955_Region/Thumb_50.png,G6299 Berlin G455 50 GWV 1955,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1955_Region/,,18,10,9,,52.67290600,13.54129500,52.36300800,13.07244100,0,1955-01-01 00:00:00,3,America/Los_Angeles,1955-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,BVG Liniennetz: U-Bahn Autobus Straßenbahn,BVG Route Network: Subway Bus City Rail,Berliner Verkehrs-Betriebe (BVG),,Berliner Verkehrs-Betriebe (BVG),,representative map of means of transportation overview.,60,65,1:50000,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1966_West/Thumb_50.png,G6299 Berlin P1 50 BVG 1966,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1966_West/,,18,10,10,,52.67003400,13.53262800,52.36574300,13.07177800,0,1966-01-01 00:00:00,3,America/Los_Angeles,1966-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,Uebersicht ueber die Flaechennutzungsplanung,Overview of Area-use planning,Der Senator fuer Bau- und Wohnungswesen V,,"Institut fÃ¼r Angewandte GeodÃ¤sie, AuÃŸenstelle Berlin",,,65,69,1:50000,,,UCLA Bruman Map Collection,,http://dev.cdh.ucla.edu/hypermedia/tiles/1977/Thumb_50.png,G6299 West Berlin G45 50 SBW 1977,0,GraphicsMagick,http://dev.cdh.ucla.edu/hypermedia/tiles/1977,,18,10,11,,52.67632800,13.55470600,52.36022500,13.05853900,0,1977-01-01 00:00:00,3,America/Los_Angeles,1977-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
Berlin,Uebersichtskarte von BERLIN (WEST),Overview map of Berin (west),Der Senator fÃ¼r Bau- und Wohnungswesen,,"Institut fÃ¼r Angewandte GeodÃ¤sie, AuÃŸenstelle Berlin",,,78,69,1:50000,,,UCLA Bruman Map Collection,,http://tiles.ats.ucla.edu/tiles/Berlin_1978_West/Thumb_50.png,G6299 West Berlin 50 SBW 1979,0,GraphicsMagick,http://tiles.ats.ucla.edu/tiles/Berlin_1978_West/,,18,10,12,,52.67722400,13.65018300,52.35509000,13.05671600,0,1978-01-01 00:00:00,3,America/Los_Angeles,1978-12-31 00:00:00,3,America/Los_Angeles,,,,,False,False,[],,,,
